语义主题,样本数,威慑眉眼,夸张口鼻,冠帽头饰,耳须侧翼,密集装饰,红黑重色,异形面廓,柔和亲近
祈福、护佑、还愿或地方信仰,190,1/190 (0.5%),10/190 (5.3%),44/190 (23.2%),13/190 (6.8%),83/190 (43.7%),186/190 (97.9%),27/190 (14.2%),86/190 (45.3%)
忠勇、护法、征战或秩序维护,105,6/105 (5.7%),13/105 (12.4%),8/105 (7.6%),2/105 (1.9%),67/105 (63.8%),103/105 (98.1%),12/105 (11.4%),5/105 (4.8%)
镇邪、威慑、护门或驱疫,52,1/52 (1.9%),44/52 (84.6%),0/52 (0.0%),0/52 (0.0%),23/52 (44.2%),50/52 (96.2%),10/52 (19.2%),0/52 (0.0%)
戏剧情节、乡土人物或社会身份,41,0/41 (0.0%),6/41 (14.6%),6/41 (14.6%),1/41 (2.4%),12/41 (29.3%),41/41 (100.0%),2/41 (4.9%),21/41 (51.2%)
组合叙事或地方性角色,95,1/95 (1.1%),10/95 (10.5%),4/95 (4.2%),3/95 (3.2%),60/95 (63.2%),94/95 (98.9%),12/95 (12.6%),2/95 (2.1%)
